Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.50
Upper Discriminator:,1769
Lower Discriminator:,11
Calibration Coefficients:,7.407407407407407E-5,1.6222962962962963,-11.526370370435401
Calibration Channels:,82,157,217
Calibration Energies:,122.0,245.0,344.0
Elapsed Real Time:,78.49
Elapsed Live Time:,68.31
Start Time:,April 24, 2023, 04:10:45
End Time:,April 24, 2023, 04:12:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,71,93,6249,2454,15,122

Channel Data:
Channel,Energy,Counts
0,-11.526370370435401,0
1,-9.90400000006503,0
2,-8.281481481546512,0
3,-6.658814814879846,0
4,-5.036000000065031,0
5,-3.413037037102068,0
6,-1.789925925990957,0
7,-0.16666666673169672,0
8,1.456740740675711,0
9,3.080296296231266,319
10,4.703999999934968,15371
11,6.327851851786818,36019
12,7.95185185178682,8377
13,9.575999999934972,4977
14,11.200296296231265,5445
15,12.824740740675708,6554
16,14.449333333268303,8637
17,16.074074074009047,10329
18,17.698962962897934,11810
19,19.32399999993497,12943
20,20.949185185120157,14176
21,22.574518518453488,15056
22,24.199999999934967,15752
23,25.825629629564595,15904
24,27.45140740734238,16058
25,29.077333333268307,15463
26,30.703407407342382,14805
27,32.3296296295646,12906
28,33.95599999993497,11174
29,35.58251851845349,9108
30,37.209185185120155,6866
31,38.83599999993497,4798
32,40.46296296289793,3302
33,42.090074074009046,2040
34,43.71733333326831,1247
35,45.34474074067571,713
36,46.972296296231264,378
37,48.59999999993497,215
38,50.227851851786816,119
39,51.855851851786824,73
40,53.483999999934966,58
41,55.112296296231264,68
42,56.74074074067572,65
43,58.369333333268315,52
44,59.99807407400904,58
45,61.626962962897935,73
46,63.25599999993497,67
47,64.88518518512015,64
48,66.51451851845349,83
49,68.14399999993498,84
50,69.77362962956461,92
51,71.40340740734239,99
52,73.03333333326832,93
53,74.66340740734238,102
54,76.29362962956459,112
55,77.92399999993496,93
56,79.55451851845349,70
57,81.18518518512016,108
58,82.81599999993497,95
59,84.44696296289794,111
60,86.07807407400904,91
61,87.7093333332683,101
62,89.34074074067571,93
63,90.97229629623126,106
64,92.60399999993497,129
65,94.23585185178682,126
66,95.86785185178682,119
67,97.49999999993497,115
68,99.13229629623127,124
69,100.7647407406757,121
70,102.3973333332683,142
71,104.03007407400905,141
72,105.66296296289794,180
73,107.29599999993498,192
74,108.92918518512016,200
75,110.5625185184535,233
76,112.19599999993497,262
77,113.8296296295646,306
78,115.46340740734237,280
79,117.09733333326831,293
80,118.73140740734239,322
81,120.3656296295646,357
82,121.99999999993499,372
83,123.6345185184535,370
84,125.26918518512018,359
85,126.90399999993498,355
86,128.53896296289793,315
87,130.17407407400907,334
88,131.80933333326828,292
89,133.44474074067568,285
90,135.08029629623127,210
91,136.71599999993498,221
92,138.35185185178682,193
93,139.98785185178684,177
94,141.623999999935,158
95,143.26029629623127,131
96,144.89674074067574,136
97,146.53333333326833,117
98,148.17007407400905,82
99,149.80696296289796,67
100,151.443999999935,66
101,153.08118518512015,71
102,154.7185185184535,62
103,156.35599999993497,41
104,157.99362962956462,37
105,159.63140740734235,31
106,161.26933333326832,29
107,162.90740740734236,33
108,164.5456296295646,27
109,166.183999999935,34
110,167.82251851845348,25
111,169.46118518512014,26
112,171.099999999935,34
113,172.73896296289792,31
114,174.37807407400908,18
115,176.0173333332683,27
116,177.65674074067573,34
117,179.29629629623128,24
118,180.935999999935,22
119,182.57585185178687,24
120,184.2158518517868,30
121,185.85599999993497,28
122,187.49629629623126,27
123,189.1367407406757,21
124,190.7773333332683,23
125,192.41807407400904,29
126,194.0589629628979,29
127,195.69999999993496,24
128,197.34118518512014,34
129,198.9825185184535,20
130,200.623999999935,24
131,202.26562962956461,27
132,203.90740740734236,24
133,205.5493333332683,23
134,207.1914074073424,17
135,208.8336296295646,10
136,210.47599999993497,21
137,212.11851851845347,19
138,213.76118518512015,23
139,215.40399999993497,22
140,217.0469629628979,21
141,218.69007407400903,14
142,220.33333333326829,13
143,221.97674074067572,19
144,223.6202962962313,20
145,225.26399999993498,22
146,226.90785185178686,21
147,228.5518518517868,12
148,230.195999999935,21
149,231.84029629623126,17
150,233.4847407406757,20
151,235.12933333326833,24
152,236.77407407400904,20
153,238.41896296289792,12
154,240.063999999935,11
155,241.70918518512013,19
156,243.35451851845346,13
157,244.99999999993497,21
158,246.6456296295646,14
159,248.29140740734238,22
160,249.93733333326827,14
161,251.58340740734235,15
162,253.2296296295646,17
163,254.87599999993495,18
164,256.52251851845347,11
165,258.1691851851201,13
166,259.815999999935,11
167,261.4629629628979,17
168,263.11007407400905,14
169,264.75733333326826,13
170,266.4047407406757,12
171,268.05229629623125,11
172,269.69999999993496,9
173,271.3478518517868,13
174,272.9958518517868,13
175,274.643999999935,14
176,276.29229629623126,15
177,277.9407407406757,11
178,279.58933333326826,11
179,281.23807407400903,12
180,282.8869629628979,19
181,284.535999999935,11
182,286.18518518512013,13
183,287.8345185184535,10
184,289.48399999993495,14
185,291.1336296295646,9
186,292.78340740734234,12
187,294.4333333332683,15
188,296.08340740734235,12
189,297.73362962956463,11
190,299.383999999935,15
191,301.0345185184535,11
192,302.68518518512013,6
193,304.3359999999349,15
194,305.9869629628979,8
195,307.638074074009,15
196,309.2893333332683,14
197,310.94074074067566,12
198,312.59229629623127,5
199,314.24399999993494,5
200,315.89585185178686,16
201,317.5478518517868,7
202,319.19999999993496,7
203,320.85229629623126,11
204,322.50474074067574,9
205,324.1573333332683,14
206,325.81007407400904,12
207,327.4629629628979,8
208,329.115999999935,13
209,330.76918518512014,7
210,332.42251851845344,10
211,334.075999999935,13
212,335.72962962956456,11
213,337.38340740734236,15
214,339.0373333332683,10
215,340.6914074073424,10
216,342.3456296295646,7
217,343.99999999993497,13
218,345.6545185184535,14
219,347.30918518512016,13
220,348.96399999993497,11
221,350.61896296289797,15
222,352.27407407400904,8
223,353.92933333326835,15
224,355.5847407406757,12
225,357.24029629623124,18
226,358.895999999935,6
227,360.5518518517868,10
228,362.2078518517868,12
229,363.86399999993495,12
230,365.52029629623127,7
231,367.1767407406757,9
232,368.83333333326834,22
233,370.49007407400904,9
234,372.14696296289793,7
235,373.80399999993494,7
236,375.4611851851202,8
237,377.11851851845347,6
238,378.775999999935,10
239,380.4336296295646,8
240,382.09140740734233,6
241,383.7493333332683,9
242,385.40740740734236,10
243,387.0656296295646,8
244,388.72399999993496,8
245,390.3825185184535,6
246,392.0411851851201,4
247,393.69999999993496,7
248,395.3589629628979,9
249,397.01807407400906,9
250,398.6773333332683,7
251,400.33674074067574,1
252,401.99629629623126,7
253,403.655999999935,3
254,405.3158518517868,5
255,406.97585185178684,10
256,408.635999999935,5
257,410.2962962962312,6
258,411.9567407406757,6
259,413.6173333332683,5
260,415.27807407400906,6
261,416.9389629628979,5
262,418.599999999935,8
263,420.26118518512015,8
264,421.9225185184535,6
265,423.583999999935,4
266,425.24562962956463,6
267,426.90740740734236,4
268,428.56933333326833,5
269,430.2314074073424,9
270,431.8936296295646,7
271,433.55599999993495,4
272,435.2185185184535,6
273,436.88118518512016,13
274,438.54399999993495,4
275,440.20696296289793,5
276,441.87007407400904,4
277,443.53333333326833,9
278,445.1967407406757,5
279,446.8602962962313,7
280,448.523999999935,5
281,450.18785185178683,7
282,451.8518518517868,4
283,453.515999999935,7
284,455.18029629623123,2
285,456.8447407406757,7
286,458.5093333332683,4
287,460.17407407400907,3
288,461.83896296289794,4
289,463.50399999993493,6
290,465.16918518512017,6
291,466.8345185184535,3
292,468.49999999993497,7
293,470.1656296295646,8
294,471.8314074073424,6
295,473.4973333332683,5
296,475.1634074073424,7
297,476.8296296295646,8
298,478.495999999935,7
299,480.16251851845345,6
300,481.8291851851202,7
301,483.49599999993495,0
302,485.16296296289795,9
303,486.830074074009,6
304,488.4973333332683,9
305,490.1647407406757,6
306,491.8322962962312,4
307,493.49999999993497,5
308,495.1678518517868,5
