Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.50
Upper Discriminator:,1769
Lower Discriminator:,11
Calibration Coefficients:,7.407407407407407E-5,1.6222962962962963,-11.526370370435401
Calibration Channels:,82,157,217
Calibration Energies:,122.0,245.0,344.0
Elapsed Real Time:,115.03
Elapsed Live Time:,100.96
Start Time:,April 24, 2023, 03:48:53
End Time:,April 24, 2023, 03:50:48
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,44,73,3952,1461,14,83

Channel Data:
Channel,Energy,Counts
0,-11.526370370435401,0
1,-9.90400000006503,0
2,-8.281481481546512,0
3,-6.658814814879846,0
4,-5.036000000065031,0
5,-3.413037037102068,0
6,-1.789925925990957,0
7,-0.16666666673169672,0
8,1.456740740675711,1
9,3.080296296231266,558
10,4.703999999934968,23889
11,6.327851851786818,49253
12,7.95185185178682,10970
13,9.575999999934972,6953
14,11.200296296231265,7618
15,12.824740740675708,9221
16,14.449333333268303,12332
17,16.074074074009047,15655
18,17.698962962897934,17098
19,19.32399999993497,18660
20,20.949185185120157,19731
21,22.574518518453488,20722
22,24.199999999934967,21260
23,25.825629629564595,20882
24,27.45140740734238,20198
25,29.077333333268307,19225
26,30.703407407342382,17645
27,32.3296296295646,15347
28,33.95599999993497,12831
29,35.58251851845349,9794
30,37.209185185120155,7356
31,38.83599999993497,4912
32,40.46296296289793,3163
33,42.090074074009046,2017
34,43.71733333326831,1167
35,45.34474074067571,660
36,46.972296296231264,374
37,48.59999999993497,211
38,50.227851851786816,154
39,51.855851851786824,125
40,53.483999999934966,92
41,55.112296296231264,96
42,56.74074074067572,90
43,58.369333333268315,91
44,59.99807407400904,103
45,61.626962962897935,85
46,63.25599999993497,99
47,64.88518518512015,92
48,66.51451851845349,97
49,68.14399999993498,118
50,69.77362962956461,108
51,71.40340740734239,109
52,73.03333333326832,145
53,74.66340740734238,133
54,76.29362962956459,140
55,77.92399999993496,154
56,79.55451851845349,182
57,81.18518518512016,176
58,82.81599999993497,192
59,84.44696296289794,187
60,86.07807407400904,197
61,87.7093333332683,179
62,89.34074074067571,174
63,90.97229629623126,149
64,92.60399999993497,151
65,94.23585185178682,161
66,95.86785185178682,142
67,97.49999999993497,118
68,99.13229629623127,127
69,100.7647407406757,91
70,102.3973333332683,102
71,104.03007407400905,89
72,105.66296296289794,77
73,107.29599999993498,75
74,108.92918518512016,70
75,110.5625185184535,78
76,112.19599999993497,52
77,113.8296296295646,55
78,115.46340740734237,58
79,117.09733333326831,54
80,118.73140740734239,70
81,120.3656296295646,48
82,121.99999999993499,40
83,123.6345185184535,50
84,125.26918518512018,48
85,126.90399999993498,52
86,128.53896296289793,56
87,130.17407407400907,52
88,131.80933333326828,62
89,133.44474074067568,54
90,135.08029629623127,47
91,136.71599999993498,40
92,138.35185185178682,39
93,139.98785185178684,46
94,141.623999999935,31
95,143.26029629623127,40
96,144.89674074067574,45
97,146.53333333326833,42
98,148.17007407400905,49
99,149.80696296289796,44
100,151.443999999935,51
101,153.08118518512015,51
102,154.7185185184535,40
103,156.35599999993497,51
104,157.99362962956462,37
105,159.63140740734235,49
106,161.26933333326832,43
107,162.90740740734236,37
108,164.5456296295646,33
109,166.183999999935,34
110,167.82251851845348,44
111,169.46118518512014,43
112,171.099999999935,31
113,172.73896296289792,53
114,174.37807407400908,45
115,176.0173333332683,33
116,177.65674074067573,58
117,179.29629629623128,26
118,180.935999999935,43
119,182.57585185178687,47
120,184.2158518517868,47
121,185.85599999993497,40
122,187.49629629623126,35
123,189.1367407406757,35
124,190.7773333332683,49
125,192.41807407400904,38
126,194.0589629628979,42
127,195.69999999993496,32
128,197.34118518512014,26
129,198.9825185184535,43
130,200.623999999935,46
131,202.26562962956461,27
132,203.90740740734236,33
133,205.5493333332683,32
134,207.1914074073424,37
135,208.8336296295646,38
136,210.47599999993497,32
137,212.11851851845347,34
138,213.76118518512015,45
139,215.40399999993497,25
140,217.0469629628979,40
141,218.69007407400903,40
142,220.33333333326829,35
143,221.97674074067572,33
144,223.6202962962313,32
145,225.26399999993498,46
146,226.90785185178686,45
147,228.5518518517868,19
148,230.195999999935,33
149,231.84029629623126,26
150,233.4847407406757,29
151,235.12933333326833,30
152,236.77407407400904,20
153,238.41896296289792,26
154,240.063999999935,26
155,241.70918518512013,32
156,243.35451851845346,38
157,244.99999999993497,27
158,246.6456296295646,36
159,248.29140740734238,17
160,249.93733333326827,18
161,251.58340740734235,28
162,253.2296296295646,34
163,254.87599999993495,29
164,256.52251851845347,40
165,258.1691851851201,26
166,259.815999999935,30
167,261.4629629628979,26
168,263.11007407400905,31
169,264.75733333326826,23
170,266.4047407406757,26
171,268.05229629623125,30
172,269.69999999993496,23
173,271.3478518517868,25
174,272.9958518517868,21
175,274.643999999935,28
176,276.29229629623126,19
177,277.9407407406757,25
178,279.58933333326826,23
179,281.23807407400903,28
180,282.8869629628979,32
181,284.535999999935,28
182,286.18518518512013,17
183,287.8345185184535,26
184,289.48399999993495,26
185,291.1336296295646,24
186,292.78340740734234,29
187,294.4333333332683,22
188,296.08340740734235,25
189,297.73362962956463,26
190,299.383999999935,20
191,301.0345185184535,20
192,302.68518518512013,30
193,304.3359999999349,24
194,305.9869629628979,25
195,307.638074074009,23
196,309.2893333332683,13
197,310.94074074067566,25
198,312.59229629623127,20
199,314.24399999993494,21
200,315.89585185178686,25
201,317.5478518517868,28
202,319.19999999993496,19
203,320.85229629623126,20
204,322.50474074067574,18
205,324.1573333332683,20
206,325.81007407400904,21
207,327.4629629628979,22
208,329.115999999935,24
209,330.76918518512014,19
210,332.42251851845344,17
211,334.075999999935,24
212,335.72962962956456,24
213,337.38340740734236,16
214,339.0373333332683,17
215,340.6914074073424,16
216,342.3456296295646,25
217,343.99999999993497,22
218,345.6545185184535,12
219,347.30918518512016,17
220,348.96399999993497,19
221,350.61896296289797,19
222,352.27407407400904,18
223,353.92933333326835,21
224,355.5847407406757,18
225,357.24029629623124,30
226,358.895999999935,20
227,360.5518518517868,14
228,362.2078518517868,19
229,363.86399999993495,21
230,365.52029629623127,25
231,367.1767407406757,17
232,368.83333333326834,24
233,370.49007407400904,16
234,372.14696296289793,22
235,373.80399999993494,12
236,375.4611851851202,27
237,377.11851851845347,17
238,378.775999999935,19
239,380.4336296295646,17
240,382.09140740734233,12
241,383.7493333332683,15
242,385.40740740734236,15
243,387.0656296295646,11
244,388.72399999993496,9
245,390.3825185184535,18
246,392.0411851851201,9
247,393.69999999993496,15
248,395.3589629628979,11
249,397.01807407400906,19
250,398.6773333332683,20
251,400.33674074067574,16
252,401.99629629623126,9
253,403.655999999935,14
254,405.3158518517868,12
255,406.97585185178684,13
256,408.635999999935,11
257,410.2962962962312,7
258,411.9567407406757,12
259,413.6173333332683,12
260,415.27807407400906,7
261,416.9389629628979,8
262,418.599999999935,13
263,420.26118518512015,6
264,421.9225185184535,12
265,423.583999999935,6
266,425.24562962956463,9
267,426.90740740734236,9
268,428.56933333326833,16
269,430.2314074073424,13
270,431.8936296295646,16
271,433.55599999993495,12
272,435.2185185184535,11
273,436.88118518512016,12
274,438.54399999993495,10
275,440.20696296289793,10
276,441.87007407400904,9
277,443.53333333326833,18
278,445.1967407406757,9
279,446.8602962962313,9
280,448.523999999935,14
281,450.18785185178683,10
282,451.8518518517868,15
283,453.515999999935,8
284,455.18029629623123,12
285,456.8447407406757,13
286,458.5093333332683,7
287,460.17407407400907,11
288,461.83896296289794,5
289,463.50399999993493,8
290,465.16918518512017,9
291,466.8345185184535,9
292,468.49999999993497,15
293,470.1656296295646,12
294,471.8314074073424,5
295,473.4973333332683,14
296,475.1634074073424,5
297,476.8296296295646,11
298,478.495999999935,11
299,480.16251851845345,11
300,481.8291851851202,17
301,483.49599999993495,16
302,485.16296296289795,19
303,486.830074074009,14
304,488.4973333332683,13
305,490.1647407406757,13
306,491.8322962962312,18
307,493.49999999993497,11
308,495.1678518517868,15
